"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"74","basf",NA,74221,82237,90114,102272,93536,73229,90952,95299,76584,46966,"Chemicals","Germany","http://images.forbes.com/media/lists/companies/basf_416x416.jpg"
"75","orange",NA,56711,39298,29204,39020,43930,44498,40400,48252,43622,32324,"Telecommunications Services","France","http://images.forbes.com/media/lists/companies/orange_416x416.jpg"
"76","unicredit",NA,47271,31775,28957,53847,41344,23613,33346,47782,32042,17224,"Banking","Italy","http://images.forbes.com/media/lists/companies/unicredit_416x416.jpg"
"77","intesa-sanpaolo",NA,41181,33853,26432,57424,58403,46409,45265,63060,45877,27250,"Banking","Italy","http://images.forbes.com/media/lists/companies/intesa-sanpaolo_416x416.jpg"
"78","national-australia-bank",NA,53985,56336,76319,75314,71650,56482,65024,58172,50665,31950,"Banking","Australia","http://images.forbes.com/media/lists/companies/national-australia-bank_416x416.jpg"
"79","rosneft",NA,84960,79640,73156,69986,51100,51119,62376,68972,72161,48105,"Oil & Gas Operations","Russia","http://images.forbes.com/media/lists/companies/rosneft_416x416.jpg"
"80","zurich-insurance-group",NA,39900,39020,41843,45778,51845,33092,40000,48025,47686,47412,"Insurance","Switzerland","http://images.forbes.com/media/lists/companies/zurich-insurance-group_416x416.jpg"
"81","honda-motor",NA,73248,70825,72395,62974,61359,51090,51382,58905,50545,42646,"Consumer Durables","Japan","http://images.forbes.com/media/lists/companies/honda-motor_416x416.jpg"
"82","morgan-stanley",NA,43803,38643,46568,61661,70803,53683,78286,97718,80169,62142,"Diversified Financials","United States","http://images.forbes.com/media/lists/companies/morgan-stanley_416x416.jpg"
"83","sanofi",NA,89196,103338,131591,137140,135957,115374,116109,94905,102042,122486,"Drugs & Biotechnology","France","http://images.forbes.com/media/lists/companies/sanofi_416x416.jpg"
"84","metlife",NA,48379,40695,43962,60042,57271,51434,57201,47543,43384,32801,"Insurance","United States","http://images.forbes.com/media/lists/companies/metlife_416x416.jpg"
"85","td-bank-group",NA,75453,76072,76928,86193,80371,81818,92001,107762,103836,75791,"Banking","Canada","http://images.forbes.com/media/lists/companies/td-bank-group_416x416.jpg"
"86","anz",NA,60498,62639,81226,83900,77583,54888,68836,61245,53963,31325,"Banking","Australia","http://images.forbes.com/media/lists/companies/anz_416x416.jpg"
"87","pepsico",NA,102567,101259,118856,126182,143018,147302,159406,138141,178157,183552,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/pepsico_416x416.jpg"
"88","cisco-systems",NA,99228,107880,116904,118995,138951,141654,165059,221269,248275,179728,"Technology Hardware & Equipment","United States","http://images.forbes.com/media/lists/companies/cisco-systems_416x416.jpg"
"89","america-movil",NA,110080,93444,70741,70942,74516,51930,47344,57779,52350,40463,"Telecommunications Services","Mexico","http://images.forbes.com/media/lists/companies/america-movil_416x416.jpg"
"90","roche-holding",NA,120926,152019,198935,253742,240395,222178,219267,189692,222048,297429,"Drugs & Biotechnology","Switzerland","http://images.forbes.com/media/lists/companies/roche-holding_416x416.jpg"
"91","arcelormittal",NA,53583,32295,23105,26814,15783,17501,25103,36820,23977,11087,"Materials","Luxembourg","http://images.forbes.com/media/lists/companies/arcelormittal_416x416.jpg"
"92","coca-cola",NA,148695,158786,173054,168697,179851,192803,182883,179317,202985,197092,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/coca-cola_416x416.jpg"
"93","deutsche-telekom",NA,60735,50470,48420,71196,85013,81762,80001,80831,79386,69223,"Telecommunications Services","Germany","http://images.forbes.com/media/lists/companies/deutsche-telekom_416x416.jpg"
"94","intel",NA,114535,138539,105721,129222,147197,149259,170350,254762,263127,253955,"Semiconductors","United States","http://images.forbes.com/media/lists/companies/intel_416x416.jpg"
"95","generali-group",NA,33440,27601,26050,34533,31631,24093,23711,30846,30075,22463,"Insurance","Italy","http://images.forbes.com/media/lists/companies/generali-group_416x416.jpg"
"96","saudi-basic-industries",NA,81196,84390,74796,94403,64004,63468,80696,91839,99999,59840,"Chemicals","Saudi Arabia","http://images.forbes.com/media/lists/companies/saudi-basic-industries_416x416.jpg"
"97","anheuser-busch-inbev",NA,90552,115294,153479,171208,204569,204589,213102,184307,175653,89879,"Food, Drink & Tobacco","Belgium","http://images.forbes.com/media/lists/companies/anheuser-busch-inbev_416x416.jpg"
"98","sumitomo-mitsui-financial",NA,49038,47777,57587,58625,54794,48165,48067,58292,50867,36422,"Banking","Japan","http://images.forbes.com/media/lists/companies/sumitomo-mitsui-financial_416x416.jpg"
"99","bank-of-nova-scotia",NA,63610,62153,70557,71239,61347,61737,70479,74979,67077,48715,"Banking","Canada","http://images.forbes.com/media/lists/companies/bank-of-nova-scotia_416x416.jpg"
"100","credit-agricole",NA,38605,16959,23376,41018,39952,29904,36512,43920,38353,21929,"Banking","France","http://images.forbes.com/media/lists/companies/credit-agricole_416x416.jpg"
"101","edf",NA,78233,45657,35349,75812,46266,25591,23260,42957,43371,24688,"Utilities","France","http://images.forbes.com/media/lists/companies/edf_416x416.jpg"
"102","repsol",NA,39638,30137,28774,33652,26509,18362,23823,30198,25996,13525,"Oil & Gas Operations","Spain","http://images.forbes.com/media/lists/companies/repsol_416x416.jpg"
"103","rwe-group",NA,35389,29863,22892,25059,15954,8644,10280,14744,15828,17668,"Utilities","Germany","http://images.forbes.com/media/lists/companies/rwe-group_416x416.jpg"
"104","unilever",NA,91926,102446,122317,124521,129098,137213,143891,155786,153638,130583,"Household & Personal Products","Netherlands","http://images.forbes.com/media/lists/companies/unilever_416x416.jpg"
"105","comcast",NA,68653,79825,106268,130005,147768,148187,193528,146792,192037,171749,"Media","United States","http://images.forbes.com/media/lists/companies/comcast_416x416.jpg"
